iter	Passed	Remaining
989	27833	281
990	27876	253
991	27903	225
992	27929	196
993	27952	168
994	27975	140
995	27999	112
996	28026	84
997	28059	56
998	28099	28
999	28128	0
